example,ngram,pattern,term
"However, as euphoria over the first vote in two decades calms, both parties appear eager to avoid confrontation.",euphoria over the first,euphoria over n,euphoria
I was pretty much euphoric over the prospect.,euphoric over the prospect,euphoric over n,euphoric
He felt strangely euphoric about it.,euphoric about it,euphoric about n,euphoric
Push down the euro to try to juice the eurozone’s exports.,the euro,the euro,euro
I felt almost evangelical about it.,evangelical about it,evangelical about n,evangelical
Why was he so evasive about his past?,evasive about his,evasive about n,evasive
His evasiveness suggested guilt.,his evasiveness,"x+'s evasiveness",evasiveness
"On the eve of his departure, Dr.",eve of his,eve of n,eve
I love to compete in evening gown.,in evening,in evening,evening
Harrisburg : at Evensong at St.,at evensong,at evensong,evensong
I met Oprah at a special event she was speaking at.,special event,adj event,event
What I think is that every one needs to laugh.,that every one,det every n,every
Steps were under way to evict him from his home.,evict him from his,evict n from n,evict
"On Friday, Dean heard the evidence against him.",evidence against him,evidence against n,evidence
I think we have lots of evidence to the contrary.,evidence to the contrary,evidence to n,evidence
"There's no evidence that she's ever sold out to Wall Street.",evidence that,evidence that,evidence
His sullied clothing was taken as evidence of his guilt.,evidence of his,evidence of n,evidence
They still had a ton of additional evidence about his massive drug trafficking ring.,evidence about his,evidence about n,evidence
Our data provide evidence as to why HAND persists despite cART.,evidence as to why,evidence as to wh,evidence
Use evidence from the text to support your conclusions.,evidence from the text,evidence from n,evidence
There is clear evidence for the existence of dark matter.,evidence for the existence,evidence for n,evidence
"But this isn't self evident to me.",evident to me,evident to n,evident
The non-separability is evident from the fact that Eq.,evident from the fact,evident from n,evident
The disgust is evident in his voice.,evident in his,evident in n,evident
"This is evident by the fact that we've had a national debt for nearly 100 years.",evident by the fact,evident by n,evident
It is evident that the building used to be lavishly decorated.,it is evident that,it v-link evident that,evident
It is evident how to extend these notions to σ-coarse spaces.,it is evident how,it v-link evident wh,evident
The discussion makes it evident that the market is having all of the above conversations.,makes it evident that,v it evident that,evident
But that got me the evil eye from the U.S.,the evil eye,the evil eye,evil
He admits that Maran could have been more evocative of his surroundings but.,evocative of his,evocative of n,evocative
Later evolution towards a single Creator added new floors35.,evolution towards a single,evolution towards n,evolution
We use eq 31 to describe the evolution of the system.,evolution of the system,evolution of n,evolution
"These incremental use cases will evolve into something larger, she said.",evolve into something,evolve into n,evolve
"They rather specify how an agent's beliefs should evolve from one time to another.",evolve from one,evolve from n,evolve
"Ultimately, relaxation will evolve toward a state of local isostatic equilibrium.",evolve toward a state,evolve towards/toward n,evolve
I will exact a promise from you.,exact a promise from you,exact n from n,exact
"And not only has she worn the same style, she has worn the same 2 hair clips, in the exact same position on her head.",exact same position on her,exact n on n,exact
"You would have done the exact same thing for me, right?” she asked.",exact same thing for me,exact n for n,exact
I just cannot be exact about it.,exact about it,exact about n,exact
This was the first among the projects under examination to be completed.,under examination,under examination,examination
A base case was determined by examination of the literature.,by examination,by examination,examination
Move to the chimes unit and examine it carefully.,examine it,examine  n,examine
Move to the chimes unit and examine it carefully.,examine it,examine n,examine
You are a wonderful example to us all.,example to us,example to n,example
Here’s an example of one of my clients.,example of one,example of n,example
"He's a hard worker and he's taught me by example.",by example,by example,example
He looked exasperated with her.,exasperated with her,exasperated with n,exasperated
"All America is exasperated by his conduct, and more firmly united than ever.",exasperated by his,exasperated by n,exasperated
"I He excels as a long - distance runcried finally, exasperated at his si- ner.",exasperated at his,exasperated at n,exasperated
Helooked with exasperation at his daughter.,exasperation at his,exasperation at n,exasperation
Keller was getting beyond exasperation with his timorous son.,exasperation with his,exasperation with n,exasperation
Durant stood up in exasperation.,in exasperation,in exasperation,exasperation
We know this from seeing a person fail in the wrong job but truly excel in the right one.,excel in the right,excel in n,excel
"Few people relish doing it, fewer excel at it.",excel at it,excel at n,excel
There is nothing that can excel them.,excel them,excel pron-refl,excel
"Excellent to see you again, sir!",excellent to see,excellent to-inf,excellent
Be excellent at it.,excellent at it,excellent at n,excellent
The observance of taps was excellent on the whole.,excellent on the whole,excellent on n,excellent
They are excellent for anyone wishing to develop a knockout punch.,excellent for anyone,excellent for n,excellent
"Well, you are really excellent about it.",excellent about it,excellent about n,excellent
Denver has one trade exception that expires on Jan.,exception that,exception that,exception
There is one glaring exception to this rule.,exception to this rule,exception to n,exception
"Without exception, she devised her grids by hand and in pencil.",without exception,without exception,exception
Ocular ultrasound was normal with exception of bilateral mature cataracts.,with exception,with exception,exception
Here is an excerpt from the book.,excerpt from the book,excerpt from n,excerpt
All earthbound meteors catch an excess of one of the two polarized rays.,excess of one,excess of n,excess
"The rumours that I drink to excess, by the way, are ridiculous.",to excess,to excess,excess
